time,one,tow
2024-06-24 21:09:29.501888,-0.2499999999999999,0.0599999999999998
2024-06-24 21:09:29.705044,-0.2400000000000001,0.05
2024-06-24 21:09:29.923783,-0.2499999999999999,0.0599999999999998
2024-06-24 21:09:30.152078,-0.2499999999999999,0.0599999999999998
2024-06-24 21:09:30.376922,-0.2499999999999999,0.0599999999999998
2024-06-24 21:09:30.626936,-0.2499999999999999,0.0599999999999998
2024-06-24 21:09:30.814388,-0.2400000000000001,0.05
2024-06-24 21:09:31.080019,-0.25,0.05
2024-06-24 21:09:31.314384,-0.25,0.05
2024-06-24 21:09:31.552179,-0.25,0.05
2024-06-24 21:09:31.751991,-0.25,0.05
2024-06-24 21:09:31.943297,-0.25,0.05
